procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 8108028  13036 3767780    0    0     0     5 1050 2191  6  2 91  0  0
 0  0      0 8120436  13036 3768252    0    0     0   190 1066 2546  5  3 92  0  0
 2  0      0 8115156  13036 3768764    0    0     0   346 1060 2508  5  2 93  0  0
 1  0      0 8112636  13036 3769212    0    0     0   128 1084 2534  5  2 92  0  0
 1  0      0 8109360  13036 3769712    0    0     0   130 1064 2646  5  2 93  0  0
 1  0      0 8104572  13036 3770168    0    0     0   124 1124 2504  6  2 91  0  0
 0  0      0 8105332  13036 3770156    0    0     0     2  994 2198  5  2 93  0  0
 0  0      0 8119556  13036 3770668    0    0     0   203 1052 2527  5  2 93  0  0
 0  0      0 8116040  13036 3771144    0    0     0   124 1057 2499  5  2 93  0  0
 2  0      0 8113268  13036 3771608    0    0     0   342 1046 2489  5  2 93  0  0
 1  0      0 8093148  13036 3779488    0    0     0   126 1111 2718  6  3 91  0  0
 1  0      0 8094664  13036 3771988    0    0     0   130 1259 3012  7  3 90  0  0
 0  0      0 8110528  13036 3772584    0    0     0     2 1005 2291  5  2 94  0  0
 0  0      0 8128952  13036 3781568    0    0     0   173 1168 2909  7  3 90  0  0
 2  0      0 8114844  13036 3773560    0    0     0   131 1101 2703  6  2 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 8110320  13036 3773452    0    0     0   338 1035 2479  5  2 93  0  0
 0  0      0 8115360  13036 3757128    0    0     0   174 1091 2714  5  2 93  0  0
 0  0      0 8112084  13036 3756044    0    0     0   142 1117 2849  5  2 93  0  0
 0  0      0 8116368  13036 3758268    0    0     0     2 1069 2326  6  2 93  0  0
 0  0      0 8115864  13036 3755852    0    0     0   245 1194 3045  6  3 91  0  0
 1  0      0 8114856  13036 3758592    0    0     0   221 1208 3126  6  3 91  0  0
 0  0      0 8113104  13036 3759084    0    0     0   338 1086 2671  6  2 92  0  0
 1  0      0 8112852  13036 3759556    0    0     0   130 1275 2881  6  2 91  0  0
 0  0      0 8112352  13036 3757896    0    0     0   619 1149 2950  6  2 92  0  0
 0  0      0 8110088  13036 3760060    0    0     0     2 1067 2478  6  2 93  0  0
 0  0      0 8134848  13036 3761176    0    0     0   364 1080 2454  6  2 93  0  0
 0  0      0 8130820  13036 3762028    0    0     0   123 1074 2644  5  2 93  0  0
 0  0      0 8126300  13036 3761484    0    0     0   343 1122 2773  5  2 92  0  0
 1  0      0 8123024  13036 3761960    0    0     0   134 1169 3088  6  2 93  0  0
 3  0      0 8120756  13036 3760836    0    0     0   132 1085 2649  5  2 93  0  0
 0  0      0 8119256  13036 3762388    0    0     0     2 1117 2705  6  2 92  0  0
 0  0      0 8115728  13036 3776148    0    0     0   114 1133 2701  6  2 92  0  0
 0  0      0 8124044  13036 3771340    0    0     0   202 1273 3219  7  3 91  0  0
 4  0      0 8119764  13036 3764220    0    0     0   357 1168 2929  6  2 92  0  0
 1  0      0 8117272  13036 3764948    0    0     0   113 1019 2462  5  2 93  0  0
 2  0      0 8114000  13036 3765124    0    0     0    65 1002 2387  5  2 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 8109464  13036 3765000    0    0     0     2 1001 2409  5  2 93  0  0
 0  0      0 8108960  13036 3765184    0    0     0     2  977 2200  5  2 94  0  0
 1  0      0 8107196  13036 3764544    0    0     0    36 1054 2421  6  2 92  0  0
 1  0      0 8102408  13036 3764528    0    0     0   218 1239 3086  7  2 91  0  0
 1  0      0 8102156  13036 3772540    0    0     0     2 1065 2483  6  2 93  0  0
 1  0      0 8101904  13036 3764548    0    0     0     4  998 2318  5  2 93  0  0
 1  0      0 8109728  13036 3764588    0    0     0   109 1108 2456  6  2 92  0  0
 1  0      0 8116544  13036 3764548    0    0     0     2  964 2201  5  2 93  0  0
 1  0      0 8115288  13036 3764572    0    0     0   125 1047 2416  5  2 93  0  0
 2  0      0 8111256  13036 3772292    0    0     0   262 1017 2334  6  2 92  0  0
 1  0      0 8114532  13036 3765204    0    0     0     0  974 2198  5  1 93  0  0
11  0      0 8110260  13036 3762308    0    0     0     2 1111 2710  5  2 93  0  0
 1  0      0 8128864  13036 3769988    0    0     0     8 1271 3334  7  2 91  0  0
 0  0      0 8123604  13036 3769408    0    0     0     0  915 2126  4  1 95  0  0
 1  0      0 8122344  13036 3767380    0    0     0    88  898 2004  4  1 95  0  0
 0  0      0 8121852  13036 3764400    0    0     0     6  759 1463  3  1 95  0  0
 0  0      0 8115832  13036 3766600    0    0     0   272  781 1504  4  1 95  0  0
 1  0      0 8115580  13036 3767196    0    0     0     0  691 1242  3  1 96  0  0
 2  0      0 8103496  13036 3779780    0    0     0     0  667 1319  3  1 95  0  0
 1  0      0 8119096  13036 3772204    0    0     0     6  665 1278  4  1 95  0  0
 1  0      0 8116644  13036 3766600    0    0     0     9  691 1379  3  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 8116392  13036 3764256    0    0     0    10  652 1373  3  1 97  0  0
 1  0      0 8115652  13036 3766540    0    0     0     0  731 1541  3  1 95  0  0
 1  0      0 8115148  13036 3766524    0    0     0   214  626 1210  2  1 97  0  0
 1  0      0 8114896  13036 3766520    0    0     0     0  595 1090  2  1 97  0  0
 1  0      0 8114644  13036 3767156    0    0     0     0  575 1046  2  1 97  0  0
 0  0      0 8113400  13036 3767148    0    0     0    62  613 1102  2  1 97  0  0
 0  0      0 8113400  13036 3767144    0    0     0     3  583 1051  2  1 97  0  0
 0  0      0 8113400  13036 3767148    0    0     0     1  599 1104  3  1 96  0  0
 1  0      0 8103836  13036 3775384    0    0     0   205  630 1171  3  1 96  0  0
 1  0      0 8115460  13036 3778712    0    0     0   107  754 1615  4  1 95  0  0
 0  0      0 8125468  13036 3764988    0    0     0     6  749 1509  4  1 94  0  0
 0  0      0 8119212  13036 3766560    0    0     0   134  710 1499  3  1 96  0  0
 0  0      0 8111904  13036 3771568    0    0     0     2  617 1174  3  1 97  0  0
 1  0      0 8120472  13036 3766560    0    0     0   110  685 1361  3  1 96  0  0
 1  0      0 8117712  13036 3766560    0    0     0     3  690 1431  3  1 96  0  0
 1  0      0 8116456  13036 3766524    0    0     0     0  602 1130  3  1 97  0  0
 0  0      0 8119480  13036 3764904    0    0     0     0  704 1494  3  1 95  0  0
 0  0      0 8114944  13036 3766564    0    0     0     0  607 1140  3  1 97  0  0
 1  0      0 8110660  13036 3766548    0    0     0    19  623 1175  2  1 97  0  0
 3  0      0 8123100  13036 3767192    0    0     0     0  626 1105  2  1 96  0  0
 0  0      0 8123380  13036 3767156    0    0     0   167  629 1104  4  1 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 8123884  13036 3766560    0    0     0     0  637 1283  3  1 96  0  0
 0  0      0 8121636  13036 3766564    0    0     0    47  612 1201  3  1 96  0  0
 0  0      0 8177948  13036 3762536    0    0     0     0  820 1267  6  4 91  0  0
