procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 8331084  13036 3797092    0    0     0     0  737 1182 12  1 86  0  0
 1  0      0 8329824  13036 3797136    0    0     0     6  634 1183  2  1 97  0  0
 0  0      0 8329320  13036 3797136    0    0     0   406  618 1142  3  1 96  0  0
 1  0      0 8326804  13036 3801128    0    0     0    69  631 1271  2  1 97  0  0
 0  0      0 8326552  13036 3797208    0    0     0     3  617 1147  2  1 97  0  0
 1  0      0 8325296  13036 3795660    0    0     0     7  665 1305  3  1 96  0  0
 0  0      0 8324288  13036 3797196    0    0     0     0  636 1269  3  1 96  0  0
 1  0      0 8333696  13036 3797156    0    0     0  5106  605 1098  2  2 96  0  0
 0  0      0 8310512  13036 3810004    0    0     0    11  744 1611  4  2 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 8315804  13036 3803516    0    0     0     0  734 1552  4  1 96  0  0
 1  0      0 8312276  13036 3797244    0    0     0   311  740 1631  3  1 95  0  0
 0  0      0 8316568  13036 3797244    0    0     0     0 1051 2513  6  2 93  0  0
 1  0      0 8318592  13036 3801200    0    0     0     6  743 1272  4  1 95  0  0
 1  0      0 8335808  13036 3795672    0    0     0     0  628 1222  2  1 97  0  0
 1  0      0 8323016  13036 3808408    0    0     0     2  841 1854  5  1 93  0  0
 1  0      0 8333884  13036 3795672    0    0     0     2  755 1689  3  1 96  0  0
 0  0      0 8310448  13036 3807136    0    0     0   191  798 1759  4  2 94  0  0
 0  0      0 8309696  13036 3795676    0    0     0     0 1030 2640  5  2 93  0  0
 0  0      0 8323552  13036 3797336    0    0     0     6  683 1354  3  2 95  0  0
 0  0      0 8321536  13036 3797252    0    0     0     0  663 1340  2  1 97  0  0
 0  0      0 8319016  13036 3797176    0    0     0     9  607 1138  2  1 97  0  0
 0  0      0 8318512  13036 3797176    0    0     0     2  575 1045  2  1 97  0  0
 0  0      0 8315236  13036 3797216    0    0     0   296  650 1294  3  1 96  0  0
 0  0      0 8311472  13036 3797120    0    0     0    42  690 1385  2  1 96  0  0
 0  0      0 8304168  13036 3807588    0    0     0     2  756 1659  4  1 95  0  0
 1  0      0 8306436  13036 3795588    0    0     0     0  722 1585  3  1 96  0  0
 0  0      0 8376048  13036 3743596    0    0     0   473  842 1963  4  2 94  0  0
 0  0      0 8373056  13036 3739980    0    0     0     8  753 1534  4  2 95  0  0
 0  0      0 8372556  13036 3745624    0    0     0   111 1000 1463  3  1 96  0  0
 0  0      0 8377792  13036 3738524    0    0     0   215  610 1234  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 8376840  13036 3739896    0    0     0     0  701 1447  3  1 96  0  0
 0  0      0 8374320  13036 3739896    0    0     0     0  610 1236  2  1 96  0  0
 0  0      0 8372812  13036 3739860    0    0     0     0  587 1068  2  1 97  0  0
 0  0      0 8375080  13036 3738552    0    0     0     3  665 1397  3  1 96  0  0
 0  0      0 8392344  13036 3739900    0    0     0    20  642 1263  3  1 96  0  0
 0  0      0 8383528  13036 3742748    0    0     0     1  610 1133  3  1 96  0  0
 0  0      0 8380504  13036 3739864    0    0     0   167  605 1122  2  1 97  0  0
 0  0      0 8379496  13036 3739904    0    0     0     0  638 1296  3  1 96  0  0
 0  0      0 8376248  13036 3739904    0    0     0    14  949 2237  6  2 92  0  0
 0  0      0 8389988  13036 3738364    0    0     0     1  726 1488  4  1 95  0  0
 0  0      0 8379404  13036 3739908    0    0     0    33  750 1633  4  1 95  0  0
 1  0      0 8373864  13036 3753324    0    0     0     0  847 1986  4  1 95  0  0
 0  0      0 8392428  13036 3740624    0    0     0     6  716 1477  3  1 95  0  0
 0  0      0 8391420  13036 3739868    0    0     0   174  596 1168  2  1 97  0  0
 0  0      0 8387724  13036 3740628    0    0     0     1  672 1314  3  1 96  0  0
 0  0      0 8387724  13036 3738376    0    0     0   122  716 1509  3  1 96  0  0
 0  0      0 8379408  13036 3754544    0    0     0     7  978 2387  6  2 92  0  0
 0  0      0 8380292  13036 3738548    0    0     0    41  801 1792  4  1 95  0  0
 0  0      0 8389808  13036 3740760    0    0     0   435  854 1885  4  2 93  0  0
 1  0      0 8389556  13036 3740004    0    0     0     0  578 1042  2  1 97  0  0
 1  0      0 8388800  13036 3740008    0    0     0   241  598 1110  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 8388296  13036 3740008    0    0     0     0  600 1070  2  1 96  0  0
 3  0      0 8346228  13036 3783552    0    0     0     0  823 1953  4  2 94  0  0
 1  0      0 8426148  13036 3718788    0    0     0   214 1536 3878 15  6 79  0  0
 1  0      0 8423912  13036 3710760    0    0     0     0  608 1093  3  1 96  0  0
 1  0      0 8418620  13036 3723772    0    0     0   105  609 1097  2  1 96  0  0
 1  0      0 8450404  13036 3710764    0    0     0     0  618 1117  3  1 96  0  0
 1  0      0 8449144  13036 3710768    0    0     0   331  610 1092  2  2 96  0  0
 0  0      0 8448640  13036 3710792    0    0     0    22  613 1142  2  1 96  0  0
 0  0      0 8447180  13036 3709232    0    0     0   176  628 1146  2  1 96  0  0
 1  0      0 8446680  13036 3710796    0    0     0     0  599 1082  2  2 96  0  0
 1  0      0 8446680  13036 3710796    0    0     0     0  588 1073  2  1 96  0  0
 0  0      0 8437860  13036 3710808    0    0     0     0  687 1328  3  3 94  0  0
 1  0      0 8434900  13036 3711568    0    0     0    60  666 1381  3  2 95  0  0
 0  0      0 8452308  13036 3710856    0    0     0   187  647 1195  3  1 96  0  0
 1  0      0 8441976  13036 3710856    0    0     0    10  891 2141  4  2 94  0  0
 0  0      0 8439776  13036 3710896    0    0     0     6  687 1364  3  1 96  0  0
 0  0      0 8440688  13036 3725328    0    0     0    18  768 1739  4  1 95  0  0
 0  0      0 8438672  13036 3710856    0    0     0     0  718 1416  3  1 96  0  0
 0  0      0 8438420  13036 3710820    0    0     0   112  653 1265  3  1 96  0  0
 0  0      0 8437416  13036 3710844    0    0     0     1  560 1025  2  1 97  0  0
 0  0      0 8435904  13036 3710820    0    0     0    96  604 1082  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 8434392  13036 3710820    0    0     0   211  574 1039  2  1 97  0  0
 1  0      0 8431400  13036 3719200    0    0     0     0  667 1399  3  1 96  0  0
 0  0      0 8434424  13036 3710824    0    0     0     0  596 1097  2  1 97  0  0
 1  0      0 8433668  13036 3710864    0    0     0     0  622 1248  2  1 97  0  0
 0  0      0 8419052  13036 3725336    0    0     0     0  668 1358  3  1 96  0  0
 1  0      0 8443016  13036 3719468    0    0     0    37  710 1439  4  2 95  0  0
 1  0      0 8441256  13036 3710828    0    0     0   173  614 1089  2  1 96  0  0
 1  0      0 8440752  13036 3710832    0    0     0     0  600 1084  2  2 96  0  0
 0  0      0 8439240  13036 3710832    0    0     0     1  658 1152  4  1 94  0  0
 0  0      0 8438736  13036 3710856    0    0     0     0  612 1106  2  1 97  0  0
 0  0      0 8437224  13036 3710860    0    0     0    25  594 1067  2  1 96  0  0
 1  0      0 8435464  13036 3710900    0    0     0    78  662 1154  3  4 93  0  0
 1  0      0 8435716  13036 3710900    0    0     0   209  608 1082  2  1 96  0  0
 3  0      0 8435464  13036 3710904    0    0     0     0  594 1060  2  1 97  0  0
 1  0      0 8431684  13036 3714296    0    0     0     0  609 1150  3  1 96  0  0
 1  0      0 8424376  13036 3719268    0    0     0     0  695 1464  3  2 96  0  0
 0  0      0 8431516  13036 3711236    0    0     0     4  665 1435  3  2 96  0  0
 0  0      0 8430428  13036 3711024    0    0     0    31  608 1107  2  1 96  0  0
 0  0      0 8429924  13036 3711024    0    0     0   218  591 1071  3  2 96  0  0
 1  0      0 8422868  13036 3711032    0    0     0     1  661 1245  3  2 95  0  0
 0  0      0 8430440  13036 3714120    0    0     0     2  669 1289  3  2 95  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 8438252  13036 3710932    0    0     0   110  673 1239  3  2 96  0  0
 1  0      0 8448224  13036 3710960    0    0     0     0  617 1144  2  2 96  0  0
 0  0      0 8440440  13036 3710940    0    0     0    41  637 1187  3  2 95  0  0
 0  0      0 8440440  13036 3711068    0    0     0    52  628 1154  3  2 95  0  0
 0  0      0 8437236  13036 3711116    0    0     0   249  659 1335  4  2 95  0  0
 1  0      0 8437236  13036 3710828    0    0     0    18  629 1232  3  1 96  0  0
 2  0      0 8434716  13036 3710992    0    0     0     0  624 1302  3  1 97  0  0
 1  0      0 8432196  13036 3710836    0    0     0     0  630 1315  3  1 96  0  0
 1  0      0 8418084  13036 3725920    0    0     0     0  958 2418  6  2 93  0  0
 0  0      0 8427436  13036 3718748    0    0     0    18 1045 2631  7  2 91  0  0
 1  0      0 8434996  13036 3710960    0    0     0     2  615 1242  3  1 96  0  0
 3  0      0 8413328  13036 3730756    0    0     0     0  624 1278  3  1 96  0  0
 1  0      0 8424668  13036 3711044    0    0     0   181  662 1436  3  1 96  0  0
 1  0      0 8437520  13036 3711004    0    0     0     0  643 1331  2  1 97  0  0
 0  0      0 8437776  13036 3711004    0    0     0     0  633 1259  3  1 96  0  0
 0  0      0 8436516  13036 3711004    0    0     0    31  657 1384  3  1 96  0  0
 2  0      0 8452692  13036 3711008    0    0     0     2  640 1286  2  1 97  0  0
 0  0      0 8446168  13036 3711048    0    0     0     0  881 2103  4  2 94  0  0
 1  0      0 8426264  13036 3730600    0    0     0   160  912 2165  5  2 94  0  0
 1  0      0 8433824  13036 3711520    0    0     0     1  643 1267  3  1 96  0  0
 0  0      0 8433320  13036 3711012    0    0     0     0  794 1796  4  2 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 8432312  13036 3711052    0    0     0    12  855 1921  4  2 94  0  0
 2  0      0 8446544  13036 3711012    0    0     0     0  811 1901  4  1 95  0  0
 0  0      0 8444808  13036 3711016    0    0     0     2  856 2018  4  1 94  0  0
 1  0      0 8439012  13036 3725936    0    0     0   296  918 2214  5  2 94  0  0
 1  0      0 8441280  13036 3710852    0    0     0     0  875 2154  4  2 94  0  0
 1  0      0 8440776  13036 3711016    0    0     0    42  652 1338  3  1 96  0  0
 1  0      0 8439768  13036 3711016    0    0     0    81  664 1384  3  1 96  0  0
 2  0      0 8430192  13036 3725652    0    0     0     0  702 1530  3  2 95  0  0
 1  0      0 8430948  13036 3711020    0    0     0     5  660 1373  3  1 96  0  0
 1  0      0 8429944  13036 3718796    0    0     0     6  691 1443  4  1 95  0  0
 0  0      0 8444564  13036 3711024    0    0     0   214  887 2121  4  1 94  0  0
 0  0      0 8426168  13036 3730616    0    0     0    36  829 1899  4  2 94  0  0
 0  0      0 8440028  13036 3711024    0    0     0    77  901 2122  5  2 94  0  0
 1  0      0 8433980  13036 3711024    0    0     0     0  849 2032  4  2 94  0  0
 1  0      0 8437936  13036 3711232    0    0     0     2  686 1417  3  1 96  0  0
 0  0      0 8438216  13036 3725340    0    0     0     1  668 1403  3  1 96  0  0
 0  0      0 8438216  13036 3711068    0    0     0     0  794 1832  4  2 95  0  0
 0  0      0 8439980  13036 3719196    0    0     0     0  841 1938  4  2 94  0  0
 0  0      0 8437460  13036 3719520    0    0     0   207  889 2096  5  2 93  0  0
 0  0      0 8439728  13036 3718808    0    0     0     7  886 1990  5  2 93  0  0
 0  0      0 8447036  13036 3710992    0    0     0     0  609 1162  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 8441016  13036 3719408    0    0     0     6  701 1413  3  2 95  0  0
 1  0      0 8441016  13036 3711020    0    0     0     0  613 1116  2  2 96  0  0
 0  0      0 8441016  13036 3710500    0    0     0     0  749 1530  3  2 95  0  0
 0  0      0 8397976  13036 3768156    0    0     0   186  991 2491  7  3 90  0  0
 1  0      0 8316076  13036 3823952    0    0     0   206 2844 8955 31  7 62  0  0
 0  0      0 8296584  13036 3838604    0    0     0    13 2492 6916 26  7 68  0  0
 1  0      0 8321816  13036 3797276    0    0     0   334 2556 7408 21  7 72  0  0
 3  0      0 8316524  13036 3792080    0    0     0   227 2377 6723 18  5 77  0  0
 5  0      0 8315516  13036 3786136    0    0     0    92 2281 6368 17  5 78  0  0
 1  0      0 8315464  13036 3786780    0    0     0   431 2384 6530 20  5 75  0  0
 1  0      0 8317116  13036 3788584    0    0     0   648 2684 7632 20  7 73  0  0
 2  0      0 8326804  13036 3789200    0    0     0   146 2316 6530 17  5 77  0  0
 1  0      0 8325544  13036 3789628    0    0     0   127 2381 6594 17  6 77  0  0
 2  0      0 8323280  13036 3790020    0    0     0   143 2260 6437 17  6 77  0  0
 1  0      0 8321264  13036 3790784    0    0     0   628 2268 6372 17  5 78  0  0
 1  0      0 8319248  13036 3783132    0    0     0   382 2410 6843 20  5 75  0  0
 0  0      0 8311436  13036 3781144    0    0     0   753 2756 8093 20  7 73  0  0
 0  0      0 8309672  13036 3780668    0    0     0   229 2376 6678 17  6 77  0  0
 0  0      0 8308420  13036 3781160    0    0     0   138 2358 6451 21  5 74  0  0
 1  0      0 8324316  13036 3781984    0    0     0    84 2254 6279 17  5 78  0  0
 2  0      0 8322080  13036 3765768    0    0     0   153 2367 6564 18  5 76  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 8317296  13036 3766732    0    0     0   587 2416 7031 17  6 77  0  0
 1  0      0 8314272  13036 3766984    0    0     0   237 2324 6453 18  6 76  0  0
 1  0      0 8337428  13036 3769988    0    0     0   332 2470 7007 17  6 76  0  0
 1  0      0 8328296  13036 3770368    0    0     0   365 2514 7171 19  6 75  0  0
 5  0      0 8322780  13036 3771952    0    0     0   458 2517 7746 19  6 75  0  0
 1  0      0 8308920  13036 3774780    0    0     0   811 3079 8324 22  8 71  0  0
 2  0      0 8308752  13036 3774780    0    0     0   218 2256 6053 19  5 75  0  0
 1  0      0 8315016  13036 3777496    0    0     0   228 2291 6453 17  5 78  0  0
 0  0      0 8309472  13036 3778416    0    0     0   242 2375 6804 19  5 76  0  0
 0  0      0 8308212  13036 3778304    0    0     0     6 2248 6082 20  4 75  0  0
 1  0      0 8303676  13036 3780920    0    0     0   127 2305 6360 20  5 74  0  0
 0  0      0 8302164  13036 3781236    0    0     0   148 2249 6364 17  6 77  0  0
 1  0      0 8294856  13036 3783508    0    0     0   310 2227 6544 15  5 80  0  0
 0  0      0 8300472  13036 3784384    0    0     0   388 2417 6894 17  6 78  0  0
 1  0      0 8292936  13036 3785568    0    0     0   462 2452 7389 17  6 77  0  0
 4  0      0 8288932  13036 3786396    0    0     0   241 2456 6856 18  6 76  0  0
 0  0      0 8287168  13036 3787092    0    0     0   210 2351 6658 17  6 77  0  0
 0  0      0 8269052  13036 3795924    0    0     0   189 2329 6681 18  6 76  0  0
 0  0      0 8265020  13036 3796712    0    0     0   213 2403 6519 19  6 75  0  0
 0  0      0 8263760  13036 3797156    0    0     0   370 2364 6624 18  5 77  0  0
 1  0      0 8273708  13036 3782540    0    0     0   658 2770 7815 19  7 74  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 8207160  13036 3825160    0    0     0   214 2609 7869 24  7 69  0  0
 0  0      0 8289240  13036 3779544    0    0     0   154 1496 3453 15  3 82  0  0
 0  0      0 8258744  13036 3816496    0    0     0   131 1710 4363 19  4 77  0  0
 0  0      0 8255732  13036 3799948    0    0     0    13 1552 4603 10  4 86  0  0
 1  0      0 8256524  13036 3801524    0    0     0   304 1086 2614  5  2 93  0  0
 0  0      0 8256020  13036 3801508    0    0     0   237  830 1673  3  2 95  0  0
 0  0      0 8303448  13036 3767692    0    0     0     3  916 1774  4  2 94  0  0
 2  0      0 8315688  13036 3765828    0    0     0     5  904 1893  4  2 94  0  0
 0  0      0 8326564  13036 3759528    0    0     0     6  803 1530  3  2 95  0  0
 1  0      0 8316488  13036 3759528    0    0     0     3  641 1227  2  1 97  0  0
 1  0      0 8314752  13036 3759528    0    0     0   189  659 1347  3  1 96  0  0
 1  0      0 8308960  13036 3764396    0    0     0    23  658 1322  3  1 96  0  0
 2  0      0 8315764  13036 3751316    0    0     0   110  672 1302  3  1 97  0  0
 1  0      0 8314252  13036 3749964    0    0     0    41  648 1342  2  1 97  0  0
 2  0      0 8314000  13036 3751336    0    0     0    43  667 1356  3  1 96  0  0
 0  0      0 8314000  13036 3751296    0    0     0     2  578 1033  2  1 97  0  0
 1  0      0 8313748  13036 3751340    0    0     0     1  649 1300  3  1 96  0  0
 0  0      0 8313244  13036 3749968    0    0     0   314  620 1278  3  1 96  0  0
 1  0      0 8313244  13036 3751340    0    0     0     1  662 1481  3  1 96  0  0
 1  0      0 8313748  13036 3751300    0    0     0     2  681 1214  3  1 96  0  0
 1  0      0 8313748  13036 3751300    0    0     0     0  576 1066  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 8313496  13036 3751304    0    0     0     2  556 1022  2  1 97  0  0
 0  0      0 8315008  13036 3751344    0    0     0     1  826 1581  6  1 93  0  0
 0  0      0 8313244  13036 3751344    0    0     0    17  767 1604  5  1 94  0  0
 1  0      0 8329432  13036 3751328    0    0     0   179  591 1089  2  1 97  0  0
 1  0      0 8329180  13036 3749772    0    0     0    24  638 1304  2  1 97  0  0
 1  0      0 8327668  13036 3751372    0    0     0     1  676 1220  3  4 93  0  0
 0  0      0 8329208  13036 3751412    0    0     0    14  622 1265  2  1 97  0  0
 0  0      0 8328204  13036 3751412    0    0     0     2  626 1238  2  1 97  0  0
 1  0      0 8341840  13036 3751416    0    0     0    10  666 1386  3  1 96  0  0
 1  0      0 8341364  13036 3751376    0    0     0     0  578 1050  2  1 97  0  0
 1  0      0 8339852  13036 3749880    0    0     0   182  705 1532  3  1 96  0  0
 0  0      0 8337080  13036 3751416    0    0     0   434  608 1208  2  1 97  0  0
 0  0      0 8336072  13036 3751380    0    0     0     1  569 1051  2  1 97  0  0
 0  0      0 8334564  13036 3751420    0    0     0    43  620 1283  2  1 97  0  0
 1  0      0 8348988  13036 3749888    0    0     0    41  800 1318  3  1 96  0  0
 1  0      0 8346972  13036 3751408    0    0     0     0  599 1143  2  1 97  0  0
 0  0      0 8346216  13036 3749892    0    0     0     0  625 1293  2  1 97  0  0
 0  0      0 8345460  13036 3751428    0    0     0   253  614 1159  2  1 97  0  0
 0  0      0 8334128  13036 3757668    0    0     0     6  654 1253  3  1 95  0  0
 0  0      0 8330348  13036 3751428    0    0     0     1  653 1340  3  1 96  0  0
 0  0      0 8327072  13036 3749896    0    0     0   554  621 1197  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 8324352  13036 3759472    0    0     0    45  700 1465  3  2 95  0  0
 1  0      0 8340544  13036 3751436    0    0     0     0  611 1116  2  1 97  0  0
 0  0      0 8340072  13036 3751436    0    0     0     0  597 1071  2  1 97  0  0
 1  0      0 8339568  13036 3749884    0    0     0   179  591 1082  2  1 97  0  0
 1  0      0 8337060  13036 3751400    0    0     0     0  615 1118  3  2 95  0  0
 0  0      0 8336052  13036 3749888    0    0     0     9  614 1120  2  1 96  0  0
 1  0      0 8335044  13036 3751424    0    0     0    97  602 1111  2  1 96  0  0
 1  0      0 8334792  13036 3751444    0    0     0     0  599 1097  2  1 97  0  0
 0  0      0 8334540  13036 3751428    0    0     0     0  595 1083  2  1 97  0  0
 0  0      0 8334540  13036 3751408    0    0     0     0  617 1093  2  2 96  0  0
 0  0      0 8334288  13036 3751408    0    0     0   227  598 1075  2  1 96  0  0
 0  0      0 8334288  13036 3751432    0    0     0     0  620 1109  2  1 96  0  0
 1  0      0 8334288  13036 3751412    0    0     0     4  600 1076  2  1 96  0  0
 1  0      0 8331768  13036 3751412    0    0     0     0  621 1121  3  1 96  0  0
 0  0      0 8331516  13036 3751440    0    0     0     0  580 1080  2  1 97  0  0
 1  0      0 8331516  13036 3751416    0    0     0     0  611 1098  2  1 96  0  0
 0  0      0 8330508  13036 3751416    0    0     0     0  582 1057  2  1 97  0  0
 0  0      0 8329500  13036 3751464    0    0     0   238  633 1154  2  1 96  0  0
 0  0      0 8328996  13036 3751424    0    0     0    13  611 1127  3  1 96  0  0
 0  0      0 8326480  13036 3751428    0    0     0     2  613 1102  2  1 97  0  0
 1  0      0 8326004  13036 3751452    0    0     0    41  604 1142  2  1 97  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 8326004  13036 3751452    0    0     0     0  612 1105  2  2 96  0  0
 1  0      0 8325500  13036 3751432    0    0     0     0  588 1094  2  1 96  0  0
 0  0      0 8324996  13036 3751472    0    0     0   112  611 1091  2  1 96  0  0
 0  0      0 8323484  13036 3751476    0    0     0   225  614 1117  2  1 96  0  0
 0  0      0 8322476  13036 3751460    0    0     0     3  589 1069  2  1 97  0  0
 0  0      0 8321720  13036 3751440    0    0     0     1  624 1153  2  1 96  0  0
 0  0      0 8321720  13036 3751480    0    0     0     0  578 1060  2  1 97  0  0
 1  0      0 8321720  13036 3751440    0    0     0    31  607 1119  2  1 96  0  0
 1  0      0 8321720  13036 3751468    0    0     0     0  595 1072  2  1 96  0  0
 3  0      0 8321720  13036 3751444    0    0     0   264  602 1105  3  1 96  0  0
 1  0      0 8321472  13036 3751488    0    0     0     2  607 1088  2  1 97  0  0
 0  0      0 8321472  13036 3751448    0    0     0     0  605 1095  2  1 97  0  0
 1  0      0 8321220  13036 3751488    0    0     0     2  602 1072  2  1 96  0  0
 0  0      0 8320716  13036 3751452    0    0     0     0  622 1132  2  2 96  0  0
 0  0      0 8320464  13036 3751492    0    0     0     0  574 1034  2  1 97  0  0
 1  0      0 8320464  13036 3751456    0    0     0    15  608 1112  2  2 96  0  0
 1  0      0 8320464  13036 3751496    0    0     0   182  602 1075  2  1 97  0  0
 0  0      0 8320212  13036 3751456    0    0     0     0  599 1072  2  1 96  0  0
 0  0      0 8319456  13036 3751484    0    0     0     0  593 1052  2  1 96  0  0
 1  0      0 8316936  13036 3751484    0    0     0     0  608 1125  2  1 96  0  0
 0  0      0 8316184  13036 3751504    0    0     0     1  610 1077  2  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 8316184  13036 3751504    0    0     0   110  632 1138  3  1 96  0  0
 0  0      0 8316184  13036 3751504    0    0     0    28  589 1066  2  1 97  0  0
 1  0      0 8312404  13036 3751508    0    0     0    45  642 1157  3  1 96  0  0
 1  0      0 8310640  13036 3751508    0    0     0   612  609 1079  2  1 96  0  0
 1  0      0 8309132  13036 3751512    0    0     0     0  603 1095  2  1 97  0  0
 1  0      0 8307116  13036 3751512    0    0     0     2  598 1135  3  1 96  0  0
 1  0      0 8323088  13036 3751500    0    0     0     1  628 1202  3  1 96  0  0
 0  0      0 8338148  13036 3751476    0    0     0    73  604 1083  2  1 96  0  0
 0  0      0 8337924  13036 3751516    0    0     0     2  602 1096  2  1 96  0  0
 1  0      0 8336916  13036 3751480    0    0     0   215  597 1070  2  1 96  0  0
 0  0      0 8335404  13036 3751480    0    0     0     0  594 1104  2  1 96  0  0
 1  0      0 8334900  13036 3751480    0    0     0     0  575 1080  2  1 97  0  0
 0  0      0 8332632  13036 3751484    0    0     0     1  602 1133  2  1 96  0  0
 0  0      0 8332632  13036 3751484    0    0     0     9  593 1062  2  1 97  0  0
 1  0      0 8332156  13036 3751488    0    0     0     0  611 1094  2  2 96  0  0
 0  0      0 8332156  13036 3751488    0    0     0     3  584 1055  2  2 96  0  0
 1  0      0 8331400  13036 3751488    0    0     0   214  589 1063  2  1 96  0  0
 2  0      0 8331400  13036 3751492    0    0     0    14  607 1095  2  1 96  0  0
 1  0      0 8329888  13036 3751492    0    0     0     0  606 1119  2  1 96  0  0
 1  0      0 8329888  13036 3751496    0    0     0    23  591 1059  2  1 97  0  0
 1  0      0 8328124  13036 3751336    0    0     0     2  607 1114  2  1 96  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 8340840  13036 3751532    0    0     0     2  832 1729  3  6 91  0  0
 1  0      0 8339860  13036 3751552    0    0     0     0  698 1393  3  3 93  0  0
 1  0      0 8336584  13036 3751596    0    0     0   205  730 1429  3  3 94  0  0
 0  0      0 8334064  13036 3751628    0    0     0   113  753 1483  3  3 93  0  0
 1  0      0 8333560  13036 3751648    0    0     0     8  689 1371  3  3 94  0  0
 1  0      0 8333560  13036 3751608    0    0     0    41  622 1155  3  2 96  0  0
 1  0      0 8333056  13036 3751624    0    0     0    26  686 1313  3  2 95  0  0
 0  0      0 8333056  13036 3751640    0    0     0     0  744 1539  3  3 93  0  0
 2  0      0 8269836  13036 3806680    0    0     0   256 1779 5488 20  7 73  0  0
 2  0      0 8269864  13036 3783364    0    0     0     2 1645 4222 16  5 79  0  0
 2  0      0 8295724  13036 3769480    0    0     0   442 1817 4709 16  7 77  0  0
 3  0      0 8291972  13036 3767424    0    0     0   176 1443 3423 13  5 82  0  0
 3  0      0 8290208  13036 3767832    0    0     0   162 1337 3339 11  5 83  0  0
 2  0      0 8289704  13036 3768196    0    0     0   116 1379 3157 15  4 81  0  0
 1  0      0 8284160  13036 3767828    0    0     0   485 1361 3244 14  3 83  0  0
 1  0      0 8282396  13036 3768528    0    0     0   203 1456 3572 14  6 81  0  0
 0  0      0 8270920  13036 3778100    0    0     0   326 1701 4289 16  6 77  0  0
 5  0      0 8260840  13036 3770080    0    0     0   136 1809 3230 66  6 28  0  0
 3  0      0 8292520  13036 3770664    0    0     0   177 2027 3138 92  6  2  0  0
 3  0      0 8288712  13036 3771384    0    0     0   190 1930 3340 85  6 10  0  0
 4  0      0 8285436  13036 3763688    0    0     0   142 1910 3093 86  2 12  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0      0 8220964  13036 3809744    0    0     0   528 2508 5495 86  7  7  0  0
 2  0      0 8218948  13036 3797584    0    0     0   138 2506 5789 71  8 21  0  0
 1  0      0 8210256  13036 3816264    0    0     0   251 2492 7203 30  9 61  0  0
 0  0      0 8237224  13036 3779748    0    0     0   242 1484 3744 13  6 82  0  0
 2  0      0 8254420  13036 3777176    0    0     0    63 1524 2843 44  6 50  0  0
 5  1      0 8253160  13036 3779552    0    0     0   186 1803 2880 57  4 39  0  0
 1  0      0 8247880  13036 3778820    0    0     0   557 1790 3052 50  3 48  0  0
 1  0      0 8259028  13036 3779344    0    0     0   121 1514 2917 31  5 64  0  0
